job_title,job_desc,job_location,job_indus,employ_type,power,microstrategy,looking,sap,sisense,tibco,qlik,qlikwise,sas,jupyter,agile,bigquery,tableau,google,IBM,chartio,excel,alteryx,word,powerpoint,shiny,lambda,azure,teradata,sql,r,python,java,matlab,javascript,mongodb,nosql,mysql,c#,c++,powerbi
Data Analyst,About the role Were seeking a curious motivated and technically adept Data Analyst to help capture analyse and proactively disseminate information to support our major business functions  specifically marketing and web analytics This exciting role will suit a graduate or someone with 1 to 3 years of working experience In order to succeed in this role you will need robust skills in programming languages such as Python as well as strong analytical capability to turn data into actionable insights appropriate for senior stakeholders The successful candidate will be resourceful be resourceful when solving technical issues and be comfortable with debugging code An understanding of financial markets and instruments would be preferable but is not essential The role will provide you with the opportunity to help maintain and build out businesscritical functions and provide you the opportunity to work within the marketing team and closely with our distribution team   Responsibilities Understand maintain and be responsible for existing datarelated processes across the business Structure and organise data appropriately to be amenable to analysis and insight Automate processes the collection and dissemination of relevant data Conduct analysis and summarise insights into actionable data reports Conduct indepth web and marketing analytics Create dashboards to improve selfservice analytics  Skills and experience Applications such as Google Cloud BigQuery Snowflake Google Analytics Power BI Segment Salesforce Braze Clevertap Marketo Amplitude Wordpress CMS Linux Bloomberg Iress Languages such as Python and SQL Tertiary qualified in Information Technology Data Analytics or other relevant education majors Knowledge and interest in financial products and ETFs preferred Demonstrated ability and interest to solve technical problems  read debug and write code Strong attention to detail Strong organisational and timemanagement abilities  What we offer BetaShares believes our most important asset is our people and we are proud of the culture we have built  but we are always striving to be better We want every BetaShares employee to be doing their best work and developing their careers In addition to a competitive salary we also offer Staff career development and training allowance Access to a health and wellbeing platform with physical mental social and financial support programs available Flexible workplace  youll have the opportunity to work flexibly based on your individual needs and personal circumstances Volunteering days off so you can contribute to a cause that matters to you Newly renovated CBD offices with fully stocked kitchen team breakfasts and catered lunches on a regular basis Fun and inclusive social events  This role is a fantastic opportunity for someone looking to further their career in a growing and dynamic business Show less Seniority level Entry level Employment type Fulltime Job function Information Technology Industries Financial Services Referrals increase your chances of interviewing at BetaShares by 2x See who you know,New South Wales,Financial Services,Full-time,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Data Analyst,Company Description  At Toll we do more than just logistics  we move the businesses that move the world Our 16000 team members can help solve any logistics transport or supply chain challenge  big or small We have been supporting our customers for more than 130 years Today we support more than 20000 customers worldwide with 500 sites in 25 countries and a forwarding network spanning 150 countries We are proudly part of Japan Post  wwwtollgroupcom  Global Logistics provides sophisticated supply chain solutions from endtoend or part solutions warehousing and distribution to dedicated transport solutions across the globe and to some of the most remote corners of the world  Grocery services include the provision of warehousing services and an integrated transport strategy interstate and intrastate for large supermarkets and retailers with a diverse product range  Job Description  We have an exciting vacancy for a Data Analyst to join our Toll Grocery team partnering with Coles across the Victoria operations This role will be instrumental in defining business problems via investigation and gathering technical data Ensure the business unit is prepared for the coming peak season by forecasting equipment and labour requirements correlate with Coles data and perform the analysis on downstream effects for Toll Group  This full time permanent role will report into the Project Manager and be based at our Laverton site with some travel required across all Coles DCs in the Melbourne Metro area Experience some work from home flexibility and the opportunity to business partner with two iconic brands working in a fast paced FMCG industry  As The Data Analyst You Will Gather validate and document business processes and requirements and report them back to internal stakeholders Analyse commercial data such as budgets sales results and forecasts Identify issues risks and benefits of existing and proposed solutions and outlining business impacts Estimate costs and identifying business savings  Qualifications  To be successful in this role you will need Degree in commerce business or an associated field Be an advanced user of Access Excel and data modelling skills Excellent analytical capability and sound commercial acumen Previous experience in the logistics industry highly regarded  Additional Information  Be Connected  With a bold vision and innovative drive join our 16000 colleagues as we lead industry change and transform how customers best meet their global supply chain needs in a meaningful and sustainable way There are countless opportunities to learn and make a real impact in shaping our industrys future Grow with diverse challenges amongst a friendly and inclusive global culture Take pride in building relationships that matter because being connected is at the centre of what makes Toll great  its what makes our possibilities endless  Toll embraces and celebrates a variety of cultures We continue to build a business that reflects the values of equality built on the knowledge and understanding that everyone is welcome including the First Nations Peoples and those of all ages genders and abilities  To find out more about us visit wwwtollgroupcomcareers  To be considered you must be entitled to work in the specified country and be prepared to undertake preemployment checks including a criminal history check and medical assessment Show less Seniority level MidSenior level Employment type Fulltime Job function Supply Chain Industries Truck Transportation Referrals increase your chances of interviewing at Toll Group by 2x See who you know,Victoria,Transportation,Full-time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Global cuttingedge projects established project delivery services forensic and quantum claims analysis and so much more are only the beginning at TBH We are celebrating over 55 years as Australias most reputable and largest privately owned project advisory firm with a growing international footprint  At TBH our Values are at the centre of everything we do As industry leaders we strive for excellence and set the bar high We respect and celebrate our people family and communities We are bettertogether by realising the power of diversity Our people are solutiondriven and bring fresh perspectives to our clients By being futurefocused we are shaping a better world  TBH in Sydney has an opportunity for a Data Analyst on a contract basis either fulltime or parttime  Qualifications Good understanding of the process of project delivery through design procurement authority approvals construction  delivery and commissioning Ability to interrogate various project data sources to extract timelineprogramme information Ability to differentiate actualfactual v planned timelines in data sources and discern reliability of programme information Organised and structured approach to data analysis and record keeping  source referencing Ability to interact autonomously with a range of TBH staff to progress the data collection collation exercise in a timely manner whilst being conscious of others prioritisation of paying work  Responsibilities Analysing project records programmes emails certificates published documents to determine planned and actual timeframes for a range of projects Liaising with relevant TBH staff in all offices to identify and prioritise suitable projects for data mining Systematically working through the TBH projects catalog and keeping a record of which projects have been identified as priorities which have been mined and key contacts for those projects Keeping records of data sources so that data can be validated Regularly meeting senior staff for validation of data Developing a broad plan for data extraction against which progress can be measured Report regularly on progress against the plan including identifying any barriers to progress  Application process Please submit your application via LinkedIn  We are excited by the creativity fostered when people are empowered to fully be themselves and we are committed to developing a diverse workforce where everyone is treated with dignity and respect TBH is a proud WORK180 Endorsed Employer for Women If you would like to know more about how we support our employees you can view more about our company and initiatives here httpswork180comenauforwomenemployertraceybrunstromhammondtbh Show less Seniority level Associate Employment type Contract Job function Project Management Industries Business Consulting and Services Referrals increase your chances of interviewing at TBH by 2x See who you know,New South Wales,IT Consulting,Contract,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junior Data Analyst,Direct message the job poster from Expert360 Chelsea Coleman Community Lead within the Data  Analytics Practice The ideal candidate will use their passion for data and analytics to provide insights into the business by analyzing the prices of products within a large sales data set Musthave Skills Experience with PivotTable in Excel Confident with using Excel Overall Data Analyst skills Experience with SKU is highly desirable  Key Benefits The first week in the office hybrid after the first week 400500 per day Short term contract Good culture  Qualifications 1  2 years Data Analysis experience Proficient in Excel Show less Seniority level MidSenior level Employment type Fulltime Job function Information Technology Industries Staffing and Recruiting Referrals increase your chances of interviewing at Expert360 by 2x See who you know,New South Wales,IT Consulting,Full-time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Direct message the job poster from PlaySide Studios Luke DanielsonStewart  Recruiter  PlaySide Studios  If Im messaging you I probably have an awesome opportunity  SoIf youve been looking for your opportunity to get your foot in the door with an exciting fastgrowing gaming companylook no further  An amazing opportunity has become available for a Game Data and Reporting Analyst to join our game development studio in Melbourne In this role we will focus on bringing together and making sense of our game data to develop and deliver insightful reports for our team of designers and developers  If you enjoy working in a fastpaced environment love finding sense in the data and have a strong interest in games then this is a great opportunity  The role is split into three main areas Firstly using our internal cloud tools to create simple queries dashboards for our teams Working with the programmers to make sure the events are firing correctly and of course using the data to help answer questions for our team things such as  Are users finding the game too hard What price point should our in game items be at Do users get through the tutorial What is the most used item in the game  Key Responsibilities Querying and manipulating data in SQL and PythonR  Cover all three aspects of Data Analysis domain Tracking Reporting and Analysis Create dashboards with PowerBIExcel3rd Party tools illustrating the ongoing story told by our data Build partnerships with each team member sharing the tools and insights that improve retention and monetization within our products Formulate hypotheses and run a variety of AB tests to determine the best strategies to implement into our products Providing and analyzing metrics on the performance of the games and marketing campaigns Constantly improve the KPIs and metrics and set industry standards for F2P games Analyzing payment yields and monetization flows develop recommendations for revenue optimization Implementation of analytics tools best practices and new ideas Deepdive analysis of userdata from large databases Develop Analytics processes and tools Deliver key insights and report to decisionmaking stakeholders Support the design team is creating usable data and insights QA  Testing of added events and analytics to make sure the data is usable once we release our titles Working to help guide an efficient testing workflow within the team  Skills Required Experience within a fast paced tech  gaming environment Experience doing quantitative analysis or similar manipulation and analysis of large data sets Good working knowledge of basic statistical techniques to build intelligent tools Strong SQL skills experience with MySQL is a plus Proven experience programming in Python andor R Sound knowledge of mathematics and statistical techniques Strong aptitude for determining the optimal way to position products in the market Experience with metrics drivendecision making The ability to prioritise and work on multiple tasks simultaneously and manage competing priorities Ability to work in teams and independently Strong attention to detail and the ability to work independently to get the job done without daytoday direction Understanding of mobile  console games and the industry as a whole Conduct strategy audits to identify further opportunities to improve the way we do things Think on their feet and act quickly Have a cando with the ability to turn a negative into a positive no problem is too great  What we offer here at PlaySide Incredible studios based in gorgeous Port Melbourne right next to the city and many public transport options Employee Assistance Program Mentor Program Were agile and fast growing giving plenty of chances for you to grow in your role Half price Gym access right next door  you can wear your free PlaySide Swag Social events Including Movie Nights We hire out the cinema and food trucks Just as some examples Out of this world referral Bonus that includes a chance at a 10000 holiday The chance to work on some of the most exciting projects with the most incredible companies in the world  just take a look at our website  What to expect from us We want you to get to know us as much as we get to know you Our process will go as follows You apply with your killer CV and a folio of examples of your work Quick phone chat with one of our delightful People  Culture team members You may then be invited in for an interview inoffice or via Zoom to outline all of your past work and we will let you know all about PlaySide 2nd stage interview or Zoom call to meet one of our General Managers or Directors Youll then get the opportunity to meet some of our current PlaySiders  this is a casual chat and a get to know you session Show less Seniority level MidSenior level Employment type Fulltime Job function Information Technology Industries Computer Games Referrals increase your chances of interviewing at PlaySide Studios by 2x See who you know,Victoria,Software Development,Full-time,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0
Junior Data Analyst,Direct message the job poster from NEXTGEN Group Sally McIntosh Head of Sales Operations Talent and Diversity at NEXTGEN Group Junior Data Analyst  July 2022 As NEXTGEN Groups newest service offering oSpace has been created to help scale demand for borninthecloud SaaS vendors enterprise software firms and investors by using proprietary platforms data insights and analytics Due to unprecedented growth in our customized data focused campaigns we are looking for a dynamic and energetic person with recent tertiary qualifications in marketing and data analytics Some experience would be highly valued however the most important factor is a passion for the data and analytics space and a willingness to quickly learn and apply these learnings  Working within market intelligence and data analytics this role will develop to deliver data and analytics campaigns to oSpaces growing network of consumers within the APAC ICT Channel Partner Community  Key responsibilities will include  Quickly build a working knowledge of NEXTGEN oSpace internal systems through completing required courses and using systems on a frequent basis  Work closely with your immediate team to scope plan and deliver solutions on time and to scope ensuring profitability for the business by building data focused campaigns and insights  Assist with data extraction and reporting ensuring the highest level of data integrity and quality are achieved  On reviewing the data output work with senior team leads to determine a projects feasibility  Take an active role in client facing engagements including presales workshops WIPs and post campaign analysis  Develop relationships with key stakeholders within clients and work with the relative account manager to build NEXTGEN oSpaces credibility within client accounts  Ensure that all work is accurately recorded and tracked in NEXTGEN oSpaces internal system  Continuously develop data strategies About You Tertiary education in marketing analytics andor data or a related field 1 2 years experience in a similar role although recent graduates having completed an internship or university project within Martech will be considered Interest passion and high aptitude for technology especially analytics Strong interest in marketing and the digital world Strong Microsoft Excel Skills preferred Fundamental understanding of database concepts and systems preferred but not essential An understanding of data visualisation tools preferred but not essentialExperience with project management tools such as Trello preferred but not essential Ability to strengthen and build client relationships by building domain area credibility and delivering on commitments High level attention to detail Proficiency in multitasking Must be highly motivated reliable well organized and able to work autonomously Wants to be part of a business that thrives on teamwork and being accountable for their own role in overall business success   Candidates who are successfully shortlisted will be contacted for an inital virtual meeting by no later than Friday 5th of August  This role is Sydney based and only open to Australian residents or appropriate visa holders Show less Seniority level Entry level Employment type Fulltime Job function Information Technology Industries IT Services and IT Consulting Referrals increase your chances of interviewing at NEXTGEN Group by 2x See who you know,New South Wales,IT Consulting,Full-time,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data & Insights Analyst,Reporting to the Head of Data Capability and Insights the Data  Insights Analyst will provide accurate timely and relevant business analytics by creating reports dashboards and presentations on analysis and insights to meet operational needs and recommend improvements  As an integral member of the Data  Insights team you will contribute to the development and evolution of OFXs data framework including data governance metadata management quality management business intelligence and the practice of analytics and data science The Data  Insights Analyst will positively contribute to the Data  Insights practice at OFX sharing knowledge and learnings to build consistency with how OFX discusses promotes and reports on data  insights  This role is a 12 month contract and can be based remotely in NSW QLD VIC SA TAS or ACT  What youll do  Develop an expert understanding of OFXs business and processes working hand in hand with key stakeholders and team members throughout the business to deliver key prioritised business outcomes Understand and communicate the wider Data  Analytics Strategy to ensure alignment of the business priorities and decision making Contribute to the evolution of the Data  Analytics Strategy working within the operating framework and ensuring adherence to the core data capabilities and artefacts Ensure the effective management of data points and the data model from creation through to exploitation Drive the maturity and evolution of the data model and associated practices to support the future and ongoing needs Challenge the business stakeholders to ensure the delivery of valued outcomes with the goal of building less reports and more artefacts that provide insights that evolve and enhance our business efficiency and effectiveness Help define and set effective metrics and to ensure success Delegation and training of individuals across the business to ensure empowerment autonomy and professional development while ensuring overall objectives are achieved Management and mitigation of technology risks using proper governance Manage technology costs effectively including resourcing vendors and infrastructure where possible Lead engagement with vendors and partners within specified domain to ensure delivery of OFXs business outcomes  Qualifications  What you bring  To Succeed in this role you will be team orientated resilient and results driven be a selfstarter and be able to work autonomously  You will also have  2  5 years experience presenting data attributes and analysis to nontechnical stakeholders Advanced knowledge in SQL and ideally using Google Cloud Platform and Big Query but not essential Extensive experience with either R or Python Programing languages Knowledge of Agile Scrum methodology Strong analytical and problemsolving abilities Exposure or Experience with ML development and operationalisation of ML models Experience in insurance or financial sectors will be well regarded but not essential    Additional Information  What its like working at OFX  WereOFXers because we want to make a differenceWe see challenges as opportunities and were not afraid to roll up our sleeves to get stuff doneWere committed to making things easier for our clientspushing boundaries and continuing to move with the timesso that we can continue to inspire confidence every day and through every transaction  We operate asone team crossfunctionally and globallyto drive outcomes that deliver excellence for our customersWere curious selfstarters who love learning and sharing our knowledge with othersWe embrace change and use ourinitiative and resilience to overcome challenges  Always keep learningWe offer LinkedIn learning programswhich all OFXers have access to We offer a variety of other learning programs and host an annual Open Day to encourage cross functional and soft skill learning Giving back we encourage OFXers to give back to causes and communities that are important to themWe celebrate this with anannual volunteer day that OFXers can use together or individually We promote an environment ofreward and recognitionOFXers are encouraged to celebrate their peers effort technical expertise or support through a range of channels and awards Our Good Vibes employeeled committees organize events to keep our employees engaged inside and outside the office Whether its participating in our weekly yoga class now also on Zoom office happy hours end of year celebrations Our team wants you to feel welcome Show less Seniority level Associate Employment type Contract Job function Information Technology Industries Financial Services Referrals increase your chances of interviewing at OFX by 2x See who you know,New South Wales,Financial Services,Contract,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Data Analyst,Direct message the job poster from Talenza Chris Louch Executive Consultant at Talenza  Analytics  BI Data Analyst  Sydney  120k  Super  Bonus    Leading data analytics consultancy require a Data Analyst to work on an Azure data lake project within a top tier Telco client    Key Requirements  Some knowledge of tools including but not limited to Azure Data Factory Azure Databricks Azure Data Lake Store Good handson experience with advanced SQL skills Teradata EDW etc Comfortable with data transformation either with Python or R Creating visuals in Power BI to communicate insights to clients Ability to identify and collect data from multiple data sources Problemsolving attitude with the ability to work collaboratively across crossfunctional teams   If you feel you possess the relevant skills to the above apply now with most updated CV  Show less Seniority level Entry level Employment type Fulltime Job function Analyst Industries IT Services and IT Consulting Referrals increase your chances of interviewing at Talenza by 2x See who you know,New South Wales,IT Consulting,Full-time,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Data Analyst,Our client impacts the lives of every Australians economic and social wellbeing They are recognised as one of the leading government agencies for diversity and inclusion Operating a hybrid workforce with offices all over the country which you can work from at any time  Premise  This new team combines data science engineering and BA skills with a wealth of experience building and deploying state of the art models The team works to realise the groundbreaking benefits promised by AI organizations must first be able to deploy AI models into production at scale By introducing more automated processes and reducing the amount of time to deploy to a matter of hours significant time financial and other resource savings can be realised and the delivery of business value will be accelerated  Requirements  Whats in it for you Be an integral part of a huge implementation of a new ML platform that will impact every Australian moving forwards An initial contract to August 2023 Competitive daily rate Hybrid work environment  What do you need to be successful highly skilled in using a variety of tools for ETL Writing complex SQL code for TerraData exercises sound judgment to provide detailed technical professional andor policy advice in relation to complex problems and able to assist in strategic planning program and project management and policy development strong commitment to quality assurance reusability and curation of data sources and solutions  Our client uses data information and insights to deliver value for our clients and inform decision making across everything we do The Data Management team supports business areas in the sourcing ingestion management integration use and sharing of data  Benefits  Not meeting all requirements Research shows that women and people of colour are less likely to apply for jobs if they dont have all the qualifications At Grow Talent we strive to create a diverse inclusive and authentic workplace So if youre excited about this role but your previous experience doesnt exactly match all the qualifications in the job description we encourage you to apply anyway Perhaps you are the exact candidate for these or other roles Show less Seniority level MidSenior level Employment type Contract Job function Information Technology Industries Staffing and Recruiting Referrals increase your chances of interviewing at Grow Talent by 2x See who you know,Victoria,IT Consulting,Contract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Direct message the job poster from resource23 Bryan Choo Solution delivery  Recruitment  Airshouter Start 3 Oct 2022 12 months contract  2 X 6 months extension Canberra Based with partial WFH considered Must have at least baseline clearance  Our federal client is seeking an experienced Data Analyst to work as part of a project team for the delivery of the Data Management and Analytics Platform project  The successful candidate will work closely with various stakeholders business subject matter experts technical architects cloud engineers and developers as part of the project to deliver the agreed project outcomes  The project will comprise of implementing an enhanced data management and analytics platform to facilitate data warehousing capabilities reporting data analysis storing transactional data and archiving of required data  The Data Analyst will Be able to analyse and review datasets and prepare a current state analysis Be proficient with using Excel to store and analyse data including formulas and data manipulation Develop and contribute to ongoing project reporting requirements Perform qualitative and quantitative analysis as part of the design process Develop and maintain relevant project and design documentation Oversee and validate data and reports for consistency Work with the data platform team to consume and implement recommended practices to ensure compliance of data and information management standards Be able to apply judgement and critical thinking skills to problem solve Have demonstrated government sector experience including working in small teams Experience in working within an Agile team is highly desirable and experience working in an enterprise data warehouse is desirable Relevant qualifications and demonstrated experience in information technology data analysis data management or related fields would be highly regarded including the ability to communicate data concepts to generalist audiences  Essential criteria Experience and good working knowledge in the research and analysis of flat file and database datasets Experience using and working with Microsoft Excel to analyse data and collate findings including formulas pivot tables and PowerQuery  PowerPivot Experience in developing and maintaining relevant project and design documentation such as dataset catalogs source to target mappings use cases and conceptual data models Proven ability to engage and work with a diverse range of stakeholders including working collaboratively as part of an agile multidisciplinary team in government Strong written and verbal communication skills Experience with the Microsoft stack technologies particularly Power BI Experience with Agile methodologies Experience with working in project teams delivering solutions using a data warehouse platform and processes Show less Seniority level MidSenior level Employment type Contract Job function Information Technology Industries IT Services and IT Consulting Referrals increase your chances of interviewing at resource23 by 2x See who you know,Australian Capital Territory,IT Consulting,Contract,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
